username,review,rating,date,cleaned_review
Stopira Dzila,"Bonsoir MY MTN. j'ai toujours aimé cette application par-contre j'essaie de faire un mis à jour, sur mon téléphone ça marche pas. s'il vous plaît aide moi, mon appareil est un TECHNO POP 7",2,2025-10-04 01:55:49,bonsoir my mtn jai toujours aim cette application parcontre jessaie de faire un mis jour sur mon tlphone a marche pas sil vous plat aide moi mon appareil est un techno pop
Brade Elion,l'App du bonheur,5,2025-09-25 07:35:30,lapp du bonheur
Prophete Ngollo Itoba,Pourquoi c'est inacceptable,5,2025-09-19 13:40:18,pourquoi cest inacceptable
Naima Moukoueri,je me Sète application lo,5,2025-09-16 12:23:36,je me ste application lo
Logan Belli,Merci MTN pour nous faciliter la tâche,5,2025-09-15 20:02:10,merci mtn pour nous faciliter la tche
Doum 99,impossible de se connecter sur les serveurs en côte d'ivoire...,1,2025-09-14 19:28:16,impossible de se connecter sur les serveurs en cte divoire
Janaï jodan Mbani,"comment faire la Mise a jour,car chez moi l'application est hors service",2,2025-09-09 00:17:18,comment faire la mise a jourcar chez moi lapplication est hors service
exauce diabangouaya,cette application ne fonctionne pas,1,2025-09-04 19:25:49,cette application ne fonctionne pas
Dany Dak,L'application est bonne et simple à utiliser une fois installée on vous donne 500 méga,5,2025-09-04 16:40:33,lapplication est bonne et simple utiliser une fois installe on vous donne mga
Vhady Nguie,"C'est vraiment regrettable, cette application n'est plus à jour depuis longtemps et après l'avoir installé, on me demande de télécharger une nouvelle version mais la nouvelle version n'est pas disponible.",1,2025-08-20 20:36:12,cest vraiment regrettable cette application nest plus jour depuis longtemps et aprs lavoir install on me demande de tlcharger une nouvelle version mais la nouvelle version nest pas disponible
Razafindralay Jeudi Samuel,c'est très bonne,1,2025-08-19 16:43:13,cest trs bonne
Thomas Bakalas,"l'application ne fonctionne pas depuis un moment, suite une mise à jour",1,2025-08-14 20:49:16,lapplication ne fonctionne pas depuis un moment suite une mise jour
Clarice saidi,My MTN is beautiful 😍 j'aime beaucoup,5,2025-08-11 18:28:10,my mtn is beautiful jaime beaucoup
Guerrna ç Koutatouka (“Triple-Sept”),L'application demande une mis a jour alors que y'a pas d'autres version ici !,1,2025-08-11 00:06:12,lapplication demande une mis a jour alors que ya pas dautres version ici
LEI RYO,nul nul nul nul nul nul nul et nul 0/10😡😡😡😡 Etoile c'est juste parce qu'il faut mettre au moins une pour publier sinon je ne devais rien mettre.,1,2025-08-08 11:10:04,nul nul nul nul nul nul nul et nul etoile cest juste parce quil faut mettre au moins une pour publier sinon je ne devais rien mettre
Moise Injili nzayaha,tres bonne application,5,2025-08-02 12:32:52,tres bonne application
Jeffrey Mignon,pourquoi l'application ne se lance plus ?,1,2025-07-30 17:22:30,pourquoi lapplication ne se lance plus
Viad'F John,"elle ne fonctionne plus, il y est écrit : nouvelle version MyMTN disponible cliquez sur télécharger pour mettre à jour. mais lorsque je clique sur ""télécharger"" rien ne se passe",1,2025-07-29 14:59:51,elle ne fonctionne plus il y est crit nouvelle version mymtn disponible cliquez sur tlcharger pour mettre jour mais lorsque je clique sur tlcharger rien ne se passe
LORIS LOPEZ,application nulle. nous sommes au 21 ème siècle et cela ne marche pas,1,2025-07-28 01:37:15,application nulle nous sommes au me sicle et cela ne marche pas
Clardy Bat,ça ne marche pas,1,2025-07-10 14:16:10,a ne marche pas
Cleyhmard et thersianie Kinzonzi et Loïc kinzonzi,Je l'installe pour exécuter la ce Zoro je me souviens dans le passé avec mon ancien phone ça marche mais la ce foutu rien ne marche au Congo 🇨🇬 Pointe-Noire précise bien sûr ailleurs je ne sais pas mais ici ce double zéro,1,2025-07-07 22:36:53,je linstalle pour excuter la ce zoro je me souviens dans le pass avec mon ancien phone a marche mais la ce foutu rien ne marche au congo pointenoire prcise bien sr ailleurs je ne sais pas mais ici ce double zro
Elodie Kate,je ne parviens pas à me connecterq,1,2025-07-02 09:45:51,je ne parviens pas me connecterq
claude og,null cette application ne fonctionne pas dans mon téléphone,1,2025-07-01 22:56:33,null cette application ne fonctionne pas dans mon tlphone
Jordan Rachadol,"après l'installation de l'application un message apparaît veillez faire la mise à de l'application,",1,2025-07-01 03:19:50,aprs linstallation de lapplication un message apparat veillez faire la mise de lapplication
DiNAH SOROMOU,ça ne prend pas,5,2025-06-30 12:51:23,a ne prend pas
Gloire Felder DIANZIINGA (Mwana Nzoko),"A mon humble avis, je pense que cette application n'est pas mal du tout. Dans la mesure où, elle facilite la tâche on nous permettons d'utiliser certains forfaits sans pourtant utiliser les codes. Mais, la chose que je peux reprocher au concepteur de cette application c'est qu'elle nous donne pas toutes les variétés essentielles dont disposent les services MTN comme faisait touna à une époque donnée. D'où, je lui attribue 3 étoiles.",3,2025-06-25 22:02:13,a mon humble avis je pense que cette application nest pas mal du tout dans la mesure o elle facilite la tche on nous permettons dutiliser certains forfaits sans pourtant utiliser les codes mais la chose que je peux reprocher au concepteur de cette application cest quelle nous donne pas toutes les varits essentielles dont disposent les services mtn comme faisait touna une poque donne do je lui attribue toiles
Mathieu MATONGO,L'application dit qu'il faut télécharger la nouvelle version mais elle est pourtant à jour.,1,2025-06-24 12:37:14,lapplication dit quil faut tlcharger la nouvelle version mais elle est pourtant jour
Manu Gola,zéro c'est horrible,1,2025-06-08 07:35:26,zro cest horrible
Divine Maria Kidiba,"votre application à peine téléchargée, demande de télécharger la nouvelle version et quand on essaie de le faire c'est sans suite, pure arnaque !! en réalité je ne devrais même pas mettre une étoile.",1,2025-05-25 22:22:48,votre application peine tlcharge demande de tlcharger la nouvelle version et quand on essaie de le faire cest sans suite pure arnaque en ralit je ne devrais mme pas mettre une toile
SM ROMEO DAWA,J'ai de la peine à installer myMTN et en plus tout est en anglais. Je désemparé,4,2025-05-05 14:24:26,jai de la peine installer mymtn et en plus tout est en anglais je dsempar
destin mboungou,merci pour l'application,5,2025-04-24 06:41:54,merci pour lapplication
Issa musinguzi,"il semble que l'App ne fonctionne pas dans les Samsung galaxy, hein ??? car je l'ouvre et une notification s'affiche qui me dit y a une erreur au serveur et que je dois désactivé les wifi pour l'ouvrir alors que mon wifi est désactivé ils veulent que je désactive quoi d'autre ??",1,2025-04-08 11:10:05,il semble que lapp ne fonctionne pas dans les samsung galaxy hein car je louvre et une notification saffiche qui me dit y a une erreur au serveur et que je dois dsactiv les wifi pour louvrir alors que mon wifi est dsactiv ils veulent que je dsactive quoi dautre
olivia De souza,Je ne l'ai pas encore essayé mais je vois les avis,3,2025-02-19 22:02:51,je ne lai pas encore essay mais je vois les avis
Ngwasi Marie,bonne application mais pour le moment la connexion n'est bonne,5,2025-02-02 20:17:25,bonne application mais pour le moment la connexion nest bonne
JOSEPH IRAGI,For sure I have loved the way the app is looking like.❤️❤️,4,2025-01-13 09:07:25,for sure i have loved the way the app is looking like
Moïse abel Lama,Guidez-moi dans cette application.,4,2024-09-06 23:04:26,guidezmoi dans cette application
Mamadou Tahirou Diallo,Je ne suis pas content l'application s'ouvre même pas.,2,2024-08-24 11:14:18,je ne suis pas content lapplication souvre mme pas
Officiel ART,J'adore l'application,5,2024-07-10 14:44:55,jadore lapplication
Daniel Awono kolo,Pourquoi laisser qu'on télécharge pour ensuite découvrir que l'App n'est plus d'actualité et a été remplacée?,1,2024-05-07 12:17:42,pourquoi laisser quon tlcharge pour ensuite dcouvrir que lapp nest plus dactualit et a t remplace
Benjamin Hategekimana,Comment je peux utiliser cette application pour satisfaire mes besoins ?,5,2024-04-08 11:47:27,comment je peux utiliser cette application pour satisfaire mes besoins
Jacqui Rabenandrasana,Telegram.contact sim.google.chrom.youtub.email.messanger.tout apps reel,1,2024-03-19 13:18:28,telegramcontact simgooglechromyoutubemailmessangertout apps reel
FADIL Ben OUMAR,Nul j'suis au Cameroun et j vois pas mon pays,1,2024-03-19 00:26:17,nul jsuis au cameroun et j vois pas mon pays
BG TEC,unable to connect to server. c'est le message que je revois à l'ouverture de l'application,1,2024-02-08 12:23:08,unable to connect to server cest le message que je revois louverture de lapplication
Shukuru Durrbal,Is use ful mbs,5,2024-01-16 20:38:23,is use ful mbs
Emmanuel Balogog,Nul cette application. MyOrange est 100000000 fois plus mieux que vous les bêtises,1,2023-12-29 19:58:53,nul cette application myorange est fois plus mieux que vous les btises
Ouzer JR,Il y a pas le Cameroun pour vous y êtes à crier,1,2023-12-27 10:46:07,il y a pas le cameroun pour vous y tes crier
Frank Mfekouht,J'e ne voir par Cameroun dans selection pays,1,2023-11-23 09:54:18,je ne voir par cameroun dans selection pays
Come-Riche Assogbenou,L'application ne marche pas sa écrit impossible de se connecter au serveur faites quelque chose svp,1,2023-10-12 15:54:54,lapplication ne marche pas sa crit impossible de se connecter au serveur faites quelque chose svp
Guylain Guerzoni Bassingana (zoni),N'importe quoi vous vous foutez qui même ?,1,2023-10-03 17:42:37,nimporte quoi vous vous foutez qui mme
Teikeng Marc,J'ai pas pu me connecter car mon pays le Cameroun ne figure pas sur la liste des pays,1,2023-09-26 14:33:57,jai pas pu me connecter car mon pays le cameroun ne figure pas sur la liste des pays
Amadou Soniane,Je vous mets 3/5 car l'application n'est pas disponible au Sénégal 🇸🇳.,3,2023-09-22 14:06:32,je vous mets car lapplication nest pas disponible au sngal
Pascal Le phénix,Le cameroun ne figure plus parmi ? Comment faire maintenant ??,1,2023-09-19 21:22:18,le cameroun ne figure plus parmi comment faire maintenant
Herve Durand Ndi,Quand une application n'est plus disponible pour un pays il faut le notifier aux utilisateurs,1,2023-09-17 20:48:05,quand une application nest plus disponible pour un pays il faut le notifier aux utilisateurs
Gring Bachir,Le fait d'enlever le Cameroun n'ait pas une bonne idée sa devient de plus en plus nulle cette application sa ne sert maintenant à rien...👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,2023-09-16 11:20:24,le fait denlever le cameroun nait pas une bonne ide sa devient de plus en plus nulle cette application sa ne sert maintenant rien
Williams Legran,Disparition du Cameroun avec (la dotation du 1Go bonus) de la liste des pays. Son interface qui est différent que celle de la publicité. Bien vouloir y intégrer les fonctionnalités Mobile Money que de créer une autre application et pourtant celle-ci peut faire tout le travail...,1,2023-09-15 22:54:29,disparition du cameroun avec la dotation du go bonus de la liste des pays son interface qui est diffrent que celle de la publicit bien vouloir y intgrer les fonctionnalits mobile money que de crer une autre application et pourtant celleci peut faire tout le travail
Daklin Johan (Joresno),J'ai un souci avec mymtn Depuis le matin je parvient pas à créer de compte parce que il ya plus camerounais sur la première page,5,2023-09-15 13:52:45,jai un souci avec mymtn depuis le matin je parvient pas crer de compte parce que il ya plus camerounais sur la premire page
Faryda Aicha,Pourquoi il ya plus Cameroun dans mymtn,1,2023-09-15 13:51:38,pourquoi il ya plus cameroun dans mymtn
Daniel Ndjana Bela,"Depuis 2mois mon application mymtn ne me reconnais plus:plus de contenu à afficher, fréquemment mentionné Alerte,je ne comprends rien à ce qui se passe,mes appels aux services clients se soldent par une étude de mon problème qui demeure une intention,que faire ?",1,2023-09-07 10:39:35,depuis mois mon application mymtn ne me reconnais plusplus de contenu afficher frquemment mentionn alerteje ne comprends rien ce qui se passemes appels aux services clients se soldent par une tude de mon problme qui demeure une intentionque faire
Mohamadou Bach,Parfaite application 👌👌👌,5,2023-08-25 10:11:30,parfaite application
Beno Ben,C'était si génial que j'ai pas les mots pour exprimer,4,2023-08-13 12:50:54,ctait si gnial que jai pas les mots pour exprimer
Toni Blēū,Trop cool 👻 1 gigas offert,5,2023-08-05 22:19:51,trop cool gigas offert
Dimitrypaul,Very bad as app You must adapted this for any phone This app is not working normally At beginning it give but later this We ask you the code pin . When you put the code pin after they tell you that there are a error,1,2023-07-14 11:26:04,very bad as app you must adapted this for any phone this app is not working normally at beginning it give but later this we ask you the code pin when you put the code pin after they tell you that there are a error
Amati Stanley,certains comment une application agréable à utiliser,3,2023-06-29 07:46:24,certains comment une application agrable utiliser
Jean Richard Kouassi,Trop trop trop trop trop nul 😫😫😫😫😫😫😫😫,1,2023-06-28 15:16:22,trop trop trop trop trop nul
emmanuel ouattara (“alexander mahone”),ça ne passe pas on me demande télécharger la nouvelle mise à jour alors que je viens de le télécharger,1,2023-06-27 16:57:45,a ne passe pas on me demande tlcharger la nouvelle mise jour alors que je viens de le tlcharger
Kinan Coulibaly,"Non mais attendez, après avoir téléchargé l'apply elle nous met un message de mise à jour, cependant aucune n'est trouvée, quand vous voulez percer dans le réseau, fait le bien!!",1,2023-06-27 14:45:05,non mais attendez aprs avoir tlcharg lapply elle nous met un message de mise jour cependant aucune nest trouve quand vous voulez percer dans le rseau fait le bien
Dro Felicien,"Je n'arrive pas à utiliser l'application, après installation, il met demandé de mettre l'application à jour alors que je viens tour juste de le télécharger. Et quand je fais la mise à jour sur le Google Play sa ne passe pas",1,2023-06-24 20:03:19,je narrive pas utiliser lapplication aprs installation il met demand de mettre lapplication jour alors que je viens tour juste de le tlcharger et quand je fais la mise jour sur le google play sa ne passe pas
Ismael O',Un. Vrais désastre ! Ne mérite même pas une 🔯,1,2023-06-24 01:35:30,un vrais dsastre ne mrite mme pas une
Kouakou Charles,"Une fois installée l'application n'arrive pas à s'exécuter. Un message s'affiche après avoir tourné sans suite. Le message d'erreur et le suivant: ""impossible de se connecter au serveur"" et pourtant cette application fonctionnait correctement au paravant. L'application MoMo continue quant à elle de bien fonctionner. Que dois faire ?",1,2023-06-23 13:37:44,une fois installe lapplication narrive pas sexcuter un message saffiche aprs avoir tourn sans suite le message derreur et le suivant impossible de se connecter au serveur et pourtant cette application fonctionnait correctement au paravant lapplication momo continue quant elle de bien fonctionner que dois faire
STEVEN VUNABANDI,Please help me reinstall mtn app,5,2023-06-23 13:34:18,please help me reinstall mtn app
ALHADJI ABOUBAKAR,Bonjour ou bonsoir je vous remercie,5,2023-06-19 15:35:22,bonjour ou bonsoir je vous remercie
Ohouo Gualbert Kanon,"Ça ne marche pas. Dès l'installation, on me demande une mise à jour qui ne peut être téléchargée !...",1,2023-06-14 10:53:30,a ne marche pas ds linstallation on me demande une mise jour qui ne peut tre tlcharge
Salomon danh,"Nul pack YouTube ne passe plus connexion nuit est devenus très très chers, vous pensez a quoi même je comprends pourquoi beaucoup laisse ce réseau au détriment de moov. Moov est mieux sérieux puff j'ai beaucoup aimé mtn mais c'est devenu nul",1,2023-06-12 15:39:32,nul pack youtube ne passe plus connexion nuit est devenus trs trs chers vous pensez a quoi mme je comprends pourquoi beaucoup laisse ce rseau au dtriment de moov moov est mieux srieux puff jai beaucoup aim mtn mais cest devenu nul
Boniface Noukotom,C'est fiable avec m'y mtn,4,2023-06-12 12:56:07,cest fiable avec my mtn
Ali Diaby,Revoyez votre application. Elle ne marche plus.,1,2023-06-09 17:42:07,revoyez votre application elle ne marche plus
Giresse Zobo bidzanga,Franchement je sais pas pourquoi vous payez des individus pour mettre sur pied des applications et vous vous foutez des de nous retirer cette application de Google play elle ne sert a rien depuis un moment même 1 étoiles elle mérite pas,1,2023-06-09 13:41:55,franchement je sais pas pourquoi vous payez des individus pour mettre sur pied des applications et vous vous foutez des de nous retirer cette application de google play elle ne sert a rien depuis un moment mme toiles elle mrite pas
Kassi Noel KOFFI,l'App la plus nulle du monde 🤣🤣🤣🤣,1,2023-06-08 22:55:00,lapp la plus nulle du monde
MACHING BENJAMIN,Cette application est super pour le VANDEUR de puces !!!!,3,2023-06-07 19:54:41,cette application est super pour le vandeur de puces
Djuikem Lopez,Trop fantastique,5,2023-06-07 07:54:06,trop fantastique
Jonas Zounnon,Boùuuuuuuuuu,1,2023-06-06 01:03:45,bouuuuuuuuu
Arnaud Jean-Charles Antoine TANOE,Extraordinairement nul!,1,2023-06-03 12:24:54,extraordinairement nul
Habib dieudonne Habib,J'ai téléchargé je lance et depuis rien Je supprime c'est mieux,1,2023-05-30 19:52:38,jai tlcharg je lance et depuis rien je supprime cest mieux
Alaino Versace,Le gros cue,5,2023-05-29 11:52:07,le gros cue
Yaya Salomon Traoré,Très bonne application,5,2023-05-27 00:22:38,trs bonne application
Benoit Kangah Kouadio,Application inutile,1,2023-05-26 14:06:28,application inutile
tchimou desire,"Faut pas qu'on va se mentir, l'app ne marche pas mes frere",5,2023-05-25 20:26:14,faut pas quon va se mentir lapp ne marche pas mes frere
Sedina oumar Oumar,Très très efficace,5,2023-05-24 17:06:54,trs trs efficace
LESLIE ADIKO,Après avoir téléchargé l'application on nous demande de télécharger la nouvelle version mais là c'est impossible. Trop nul,1,2023-05-22 17:44:03,aprs avoir tlcharg lapplication on nous demande de tlcharger la nouvelle version mais l cest impossible trop nul
Francis Depri,Application non fonctionnelle,1,2023-05-19 17:15:15,application non fonctionnelle
Ben Chico,"L'application ne fonctionne pas. Il nous est constamment invité à télécharger une version dite à jour, alors que celle ci n'est pas accessible... Veuillez revoir cela svp !",2,2023-05-19 07:44:49,lapplication ne fonctionne pas il nous est constamment invit tlcharger une version dite jour alors que celle ci nest pas accessible veuillez revoir cela svp
Mian Maxime TANO,Nul. MTN doit revoir.,1,2023-05-16 21:47:20,nul mtn doit revoir
Désirée Esther Gbongué,L'application ne fonctionne pas,1,2023-05-09 17:30:10,lapplication ne fonctionne pas
Baino Terketl,Efficace cette application,5,2023-05-07 17:09:52,efficace cette application
Henri ASSI-ADOU,Cette application ne fonctionne pas du tout. Après installation dès le lancement on me propose une nouvelle version. Dès que je clique sur l'option pour télécharger la dite version J'ai une erreur . Donc l'application n'a jamais fonctionné. J'ai un SAMSUNG GALAXY S22. Prenez donc la version nigériane qui marche et adaptez la si vous ne pouvez pas développer une application qui fonctionne.,1,2023-05-04 21:33:11,cette application ne fonctionne pas du tout aprs installation ds le lancement on me propose une nouvelle version ds que je clique sur loption pour tlcharger la dite version jai une erreur donc lapplication na jamais fonctionn jai un samsung galaxy s prenez donc la version nigriane qui marche et adaptez la si vous ne pouvez pas dvelopper une application qui fonctionne
Keur Dalain,Cette application ne fonctionne pas car on ne réussi même pas à l'utiliser. S'il yavait zero etoile c'est ces que je comptais mettre.,1,2023-05-01 15:40:14,cette application ne fonctionne pas car on ne russi mme pas lutiliser sil yavait zero etoile cest ces que je comptais mettre
Thomas Hervé Va,"Une fois l'application téléchargée et installée, on est invité à télécharger qui autre version et lorsqu'on clique sur le bouton télécharger, on est renvoyé vers le Play Store avec une erreur. C'est de l'amateurisme.",1,2023-04-28 20:01:44,une fois lapplication tlcharge et installe on est invit tlcharger qui autre version et lorsquon clique sur le bouton tlcharger on est renvoy vers le play store avec une erreur cest de lamateurisme
Ousmanou André (Pasteur),Mais sa ne marche plus bien avant,3,2023-04-28 12:14:36,mais sa ne marche plus bien avant
Vincent Deffo,Bon application,5,2023-04-27 22:28:25,bon application
Rayan Nogue,Vraiment je ne veux plus utiliser cette appli j'aimerais que l'on rajoute une fonctionnalité pour supprimer son compte mymtn,1,2023-04-27 14:00:36,vraiment je ne veux plus utiliser cette appli jaimerais que lon rajoute une fonctionnalit pour supprimer son compte mymtn
ange touakess,"C'est du n'importe quoi cette application. A peine je télécharge on me demande une mise à jour. Vraiment MTN vous ne valez rien de rien, triché un peu sur vos concurrents c'est mieux",1,2023-04-26 15:29:16,cest du nimporte quoi cette application a peine je tlcharge on me demande une mise jour vraiment mtn vous ne valez rien de rien trich un peu sur vos concurrents cest mieux
Caroline Mbiawoua,Très facile je ne suis plus obligé de retenir Les codes,5,2023-04-13 07:47:16,trs facile je ne suis plus oblig de retenir les codes
Urich Mouozié,"Vraiment splendide cet application, formidable mêmes.",5,2023-04-10 17:06:49,vraiment splendide cet application formidable mmes
Kaïgama Zoon,Meill EF ur,5,2023-04-06 01:02:26,meill ef ur
Alassane Traore,Traore Loseni,1,2023-04-05 23:48:15,traore loseni
Black First,Je ne peut pas installé l'application,1,2023-04-04 16:11:25,je ne peut pas install lapplication
Ahmad Tidjani,Je sais pas qui a rédigé ces fatras de forfait !votre concurrent fait tjrs mieux,1,2023-03-29 16:59:14,je sais pas qui a rdig ces fatras de forfait votre concurrent fait tjrs mieux
Fabrice Damien Mbamba,"Impossible d'accéder à son compte MOMO, peut importe les que l'on configure correctement les données sur données mobiles.",1,2023-03-29 05:23:47,impossible daccder son compte momo peut importe les que lon configure correctement les donnes sur donnes mobiles
Nimbe Konate,Bonne application,5,2023-03-26 12:50:30,bonne application
Joséphine Ngoko,moins efficace à cause du manque de connexion,2,2023-03-24 23:09:57,moins efficace cause du manque de connexion
Nathalie Agossou,Cool trop bien,5,2023-03-21 12:59:03,cool trop bien
Juge Morgane,Pas mal c'est très une bonne application les très compliqué pour utiliser j'aimerais que ça soit moins dur nous tous,5,2023-03-12 20:14:33,pas mal cest trs une bonne application les trs compliqu pour utiliser jaimerais que a soit moins dur nous tous
Jennifer makou,J'adore vraiment cette application !! Vraiment il n'y a rien à reprocher surtout avec de supers bonus,5,2023-02-26 16:46:06,jadore vraiment cette application vraiment il ny a rien reprocher surtout avec de supers bonus
265 TOGBE,Cette explication est très simple pour opérer des opérations,5,2023-02-26 14:40:14,cette explication est trs simple pour oprer des oprations
Koutch Adnas,Adnas January and February and February and March in Washington and February and February is okay with it and it was the first time you an email to your sister in Christ Jesus name amen I am so sorry for not getting my texts are coming to the meeting and I will send the money to get the money to the account and I don't have a car so sorry,5,2023-02-23 01:49:49,adnas january and february and february and march in washington and february and february is okay with it and it was the first time you an email to your sister in christ jesus name amen i am so sorry for not getting my texts are coming to the meeting and i will send the money to get the money to the account and i dont have a car so sorry
Gertrude Nadege Ngo Mbong,Je veux débloquer mon compte Momo pour ma fille elle doit accoucher il faut que j'achète médicaments,5,2023-02-18 14:09:41,je veux dbloquer mon compte momo pour ma fille elle doit accoucher il faut que jachte mdicaments
Ola Justin,Bonjour Madame merci beaucoup pour votre réponse rapide,5,2023-02-16 16:48:51,bonjour madame merci beaucoup pour votre rponse rapide
Adamou Alim,Bon le début,4,2023-02-12 21:13:08,bon le dbut
Defozeu Tchatchet,It's a good application but every body knows that the are advantages and disadvantages,4,2023-02-11 16:19:36,its a good application but every body knows that the are advantages and disadvantages
Adam Saidou,Mauvais application 🤮🤮🤮,1,2023-02-06 20:53:14,mauvais application
Orel Bronze,"Si seulement on pouvait recevoir tous nos messages à travers cette appli, ça serait super pour ceux qui sont en déplacement dans un autre pays",3,2023-01-29 09:34:04,si seulement on pouvait recevoir tous nos messages travers cette appli a serait super pour ceux qui sont en dplacement dans un autre pays
Welcome Mavoungou,"Trop nulle. J'entre mon pays puis mon numéro de téléphone et on me sort que ce n'est pas un numéro MTN de mon pays. Pff, j'ai désinstallé !",1,2023-01-27 12:14:40,trop nulle jentre mon pays puis mon numro de tlphone et on me sort que ce nest pas un numro mtn de mon pays pff jai dsinstall
Kassoum Sidibe,J'adore cette application,5,2023-01-18 23:05:07,jadore cette application
Garga ibrahim Ahmadou,Bcp a faire,3,2023-01-12 22:53:04,bcp a faire
Kikoum Marie,Sa ne donne plus de data,1,2023-01-02 12:58:46,sa ne donne plus de data
Lauretta Mengue,Inutilisable,1,2022-12-29 04:35:53,inutilisable
Aboubacar Sidik Diomandé (“Aboubacar Sidik”),Du n'importe quoi je n'arrive pas à souscrire un pass,2,2022-12-07 03:43:19,du nimporte quoi je narrive pas souscrire un pass
Mahama Boukar,J'ai confiance,3,2022-12-06 14:05:24,jai confiance
Eveline Asifiwe,Courage avec cette application,5,2022-12-02 19:10:29,courage avec cette application
Gbèmènou Adantotode,Trop de complications .,1,2022-12-01 01:26:07,trop de complications
marcelin tossou,C'est du zombi 0/20,1,2022-11-21 14:02:12,cest du zombi
marchal dohouin,Merci beaucoup de tout ce que vous avez effectué,4,2022-11-20 21:15:42,merci beaucoup de tout ce que vous avez effectu
Claude Evina,J'aime cette application,5,2022-11-16 21:05:48,jaime cette application
Moïse MUNTAPBEME,Cette application ne fonctionne plus depuis presque 3 mois,1,2022-11-15 16:25:36,cette application ne fonctionne plus depuis presque mois
Syl20 Oyie,"Impossible d'utiliser cette appli, 9 fois sur 10 on detecte un p***** de wifi pourtant je suis sur les données mobiles 🙄🙄",2,2022-11-09 01:53:31,impossible dutiliser cette appli fois sur on detecte un p de wifi pourtant je suis sur les donnes mobiles
ben Adam Bouba,De chocolat application,5,2022-11-07 00:26:37,de chocolat application
ILARIE DJILO,Je n'arrive pas à télécharger cette application,1,2022-11-02 00:39:34,je narrive pas tlcharger cette application
Mht Zaid,Ok j'aime les applications my MTN,5,2022-11-02 00:20:42,ok jaime les applications my mtn
Un utilisateur de Google,Personnellement je préfère l'ancienne version,3,2022-10-28 10:57:21,personnellement je prfre lancienne version
Gaétan Hounsou,L'application est très bon et facile à utiliser.,5,2022-10-20 12:35:10,lapplication est trs bon et facile utiliser
Naderge Tazanfouo Lili,Il n'y a que les MO qu'on donne au début qui sont bien à part ça plus rien 😭,1,2022-10-17 22:26:28,il ny a que les mo quon donne au dbut qui sont bien part a plus rien
Sylvie Mpesse,Pas très bien pas très mauvais,3,2022-10-16 21:47:04,pas trs bien pas trs mauvais
Eric Bebeto,Jacques le roie,5,2022-10-16 12:48:07,jacques le roie
Andre Wouapi,Partout ou je vais je suis avec MTN,5,2022-10-13 10:17:37,partout ou je vais je suis avec mtn
Jonathan Gounou,Très pratique,5,2022-10-10 23:34:47,trs pratique
Heureux mendel Youyou,je ne vois pas où envoyer et recevoir des mb,2,2022-10-07 12:26:51,je ne vois pas o envoyer et recevoir des mb
Lionel Miller,Ces vraiment formidable cette app,5,2022-10-04 17:23:36,ces vraiment formidable cette app
Kinabary alfred Toure,L'app ne fonctionne qu'avec connexion internet or c'est par on est sensé passer pour souscrire et sans connexion sa marche pas alors comment souscrire si sa marche pas sans connexion ? Il faut dans ce cas souscrire manuellement et si je souscrire manuellement alors où est son utilité ???? Donc l'app est vraiment desservant,1,2022-10-02 22:58:17,lapp ne fonctionne quavec connexion internet or cest par on est sens passer pour souscrire et sans connexion sa marche pas alors comment souscrire si sa marche pas sans connexion il faut dans ce cas souscrire manuellement et si je souscrire manuellement alors o est son utilit donc lapp est vraiment desservant
Fidele Mfalme,Meilleur application,5,2022-10-02 13:03:51,meilleur application
Douglas Fogang,"C'est deux étoiles c'est juste pour ces 1giga,mais le reste pour moi c'est incompétent",2,2022-09-24 20:57:37,cest deux toiles cest juste pour ces gigamais le reste pour moi cest incomptent
Karti Ngolle,"C'est très bien pour aider, mais au contraire c'est difficile a utiliser",1,2022-09-20 12:28:46,cest trs bien pour aider mais au contraire cest difficile a utiliser
Methode Nanhokon,Nul ces derniers temps. Quelqu'un arrive t'il encore a transferer de l'argent via cette application?,1,2022-09-19 17:53:15,nul ces derniers temps quelquun arrive til encore a transferer de largent via cette application
BIGFLEX screen,Pourquoi mobile money redirige vers une autre application ?,1,2022-09-19 17:46:37,pourquoi mobile money redirige vers une autre application
Maxime Agbo,"C'est une très bonne application que MTN a mis à notre disposition pour nous faciliter la tâche.MTN , l'évolution sera pour vous et je serai fier d'être un agent MTN .merci",5,2022-09-19 10:32:37,cest une trs bonne application que mtn a mis notre disposition pour nous faciliter la tchemtn lvolution sera pour vous et je serai fier dtre un agent mtn merci
Tobie Manga,L'application envoie un code je le saisie puis elle me dit qu'il est incorrect,1,2022-09-19 05:24:43,lapplication envoie un code je le saisie puis elle me dit quil est incorrect
Kalina D.F Gorsou,Excellent appli,3,2022-09-07 00:06:20,excellent appli
fohla mouftaou,"Application qui ne sert quasiment à rien. MTN c'est cher, les Mo coulent hors de votre téléphone comme une jarre percée, bref service qui se veut pro mais il y a encore beaucoup de chemin",1,2022-09-06 09:15:53,application qui ne sert quasiment rien mtn cest cher les mo coulent hors de votre tlphone comme une jarre perce bref service qui se veut pro mais il y a encore beaucoup de chemin
Amadou Keita,J'aime cette application my MTN,5,2022-08-31 05:59:25,jaime cette application my mtn
